,business_id,positive words,negative words
78,GdpiEeG8oe8BnpMaENJLfg,,"taco,service"
79,wdwODzBChLIh_u8V8CPpyA,"lunch,vegan","table,service,dinner"
80,WLblFINiPI18_o1OdDsnVg,"service,pork","lunch,salad"
81,mx6YUarYRhXxUqXiJ6mbIQ,,"lunch,time,service,staff"
82,7_YOEQXlrbGpF9t9TPG_nQ,"asada,burrito,chicken,taco","service,time,rice"
83,jxaF8MS1rrHEXfw-IyV5Fw,,"taco,time,service,manager"
84,VFv7NcPW9ajUTLleJ8wOQA,"lunch,burrito","chipotle,service"
85,BsxefnHbrpDN7HB2hJrEiw,"taco,time,service,steak","burrito,price"
86,LdHtEVDZQhlz2N98IqcYUg,,"taco,wait,service"
87,rl137V_5Hx0cJAV4beVdhA,"beef,chicken,dinner","quesadilla,service,tortilla,guacamole"
88,E-_5sSD4Ofc8s7I8bMSidA,"shrimp,price,steak,staff","burrito,time,pork,fries,meat,chicken"
89,nekpzd-Nsg7ZsCAIHUkhmw,,staff
90,ZLRI8ZjrzEm5fRW-ahGz_g,"asada,burrito,chicken,fries","taco,time,service,shrimp"
91,eNeBda4br3HMg15-_jwokA,,"price,time,service,staff"
92,fYTfTGqseS7rJk9AMt2zvw,"lunch,time,chips,taco","burrito,chicken,service"
93,4DBboC1xv7Lr8KYVAw9LRA,,
94,dddUz7IweLuFYelc3ZIyNA,asada,"service,chicken,rice,steak"
95,8wFiWvlfOVt1zvAvsoLw2g,,"asada,price,service,burrito"
96,02eESJZNF3qigrJ3GNRgIQ,,shrimp
97,-UxAJfViirpbkbth6_RKTw,,
98,d8lmIZIqmBC9oPM8y1dc7Q,"chips,guacamole","time,patio,steak,salsa,service"
99,j3csEfGzkwnXATdRoZDT-A,"burrito,enchilada","lunch,time,service"
100,ViJGzET7fBMShhIgKew2Bg,"atmosphere,chips,staff","time,service"
101,VONg0lyHm7fUdARWjkkjCQ,,service
102,xo1rcGb73pTSxzFB_9nEbA,,
103,5rZxENz57t-SDv1tIS8lOg,,"salsa,staff"
104,KbhrsTQEea2RF_94YWnBdQ,"asada,fries","table,lunch,price"
105,erxmOSNUvDCmglakNyWfKw,,"lunch,chipotle"
106,c5TOGBUCCUUNBPM7h_KbmQ,"price,taco,salad","lunch,time,burrito,staff,breakfast,wait,meat,chile,asada,service"
107,JvqnkVL7dvpucjhKRsWjrw,"atmosphere,salsa,service,staff","drink,lunch,time,dinner"
108,xDHuJaOQ5HqaLP0zgpJD9w,taco,"burrito,time,tortilla,service,manager"
109,a6RZ3ampzMPiu0drkw9WWw,"dinner,time,beer","lunch,margarita,price"
110,qgixm44W9chBRmjHif278g,"wait,staff","time,service,breakfast"
111,TLEO3CpoJ0R7UKHvRb8fVg,,"breakfast,service"
112,WFB1fn8rWNukmmIfTg6AMw,"taco,time","chicken,service,fish,staff"
113,46hnat0aLao-qYWZkN9aBg,pork,"time,atmosphere,wait,salsa,service,chips"
114,NbkDsQhfK13ATV79TI4OQg,,"chipotle,service"
115,70w-yovIqsTQRe1azP7FiQ,,"taco,lunch"
116,vAFyzyLTxHhmS2NYvWXXSg,price,"service,taco,time,meat"
117,UqhVZYUeoBGroYpZB-9jlQ,wait,"lunch,enchilada,time,dinner,staff,chicken,service"
118,f5sSn5cO4t6mF_mdnzKkyA,"time,salad","salsa,service"
119,FkdG2Qsh0V2UmrEOn_ImDA,asada,"time,guacamole"
120,vo8L42IzyEAIbEy51eiwQA,"burrito,enchilada,salsa","table,service,steak"
121,hifhQ-zx4g3JMoP8CxtDwg,,"chicken,lunch,burrito,steak,staff,meat"
122,_cBlppMDZYXS-Bjj4l9qtw,,"drink,breakfast,service,staff"
123,L4H5cnC-AHlOlkIwIwnQnA,,"time,service"
124,VoTi4yVhTVyFdmxUpoyUsg,"line,burrito","asada,lunch,price"
125,CCNp1qS8n2gh51X7Wadabw,"shrimp,salsa,chips","time,service"
126,qx2mnMgIb9PCx8crz17G9Q,,service
127,K4ibWLIMnbqwLzVkAlHFzA,,beer
128,l-D0uS-tgmhkFpHKBXvPQA,,"time,chicken,rice,staff"
129,IZUDXIq5SULhQ5RGLCdB7g,"quesadilla,price","lunch,time,steak,beef,meat,taco,chicken"
130,kkD5pal9rRzE4PjeYSL9mA,meat,"burrito,time,taco,chicken,service,manager"
131,82j2FxOIY7gud1IRglm1aw,service,"staff,price,time,taco"
132,Nb3hAuv8OkpFgSImYdt3Rg,,"line,chipotle,service,staff"
133,oGYXSVs0ympLy0ur8Qnp7g,taco,"asada,service,time,dinner"
134,gEnhbaSVAZgGPmRQEwgN2A,,"burrito,lunch,dinner,taco,fish"
135,GKyowVZZ7_E1KdxCZi8_OQ,,"fries,price,service,steak"
136,b65Ugu0VDKDNbLq7sW9RDQ,time,"burrito,enchilada,beef,taco,salad,service,fish"
137,Ja4stXdNYr39u5CZHMNtjw,"drink,dinner,atmosphere","time,service"
138,_qh5RDI84nVGwZiYDvCoyw,"taco,lunch,rice","burrito,time,guacamole,wait,service,fish"
139,o5Mofj5KJkYAMs_fhxftpg,"burrito,steak","taco,service,price"
140,A8MmwHrMI0WnRTyQMdf8aQ,,"burrito,time,staff,chipotle,service"
141,WgvJcTe_RdlIfnvxEzn2Mg,"fries,staff,breakfast,asada,chicken","beef,taco,burrito"
142,AIEyiX9-yfXQgvLOtBgFgA,"lunch,dinner","time,steak,taco,salsa,chicken,service"
143,cf0LXwdYZ_9y0BVK-un9ow,"asada,fries,staff","lunch,time,meat,fish,salsa,service,chips"
144,vqEtZ7CtNB9G8WMzjwJA2g,"price,patio","service,lunch,dinner"
145,0G1y7uV7w1D2uziS4Lt_Dw,drink,"enchilada,time,service,staff"
146,EozEGL29WftitEANtx3vaw,,"time,chipotle,dinner"
147,A4uc3-zbHowQeR_u-7VNOw,,time
148,JMpATuCfHzeP-DASD7DpXQ,,"burrito,breakfast,steak"
149,W-ncMUrOh5RzHvAIKJp0rg,"time,staff","nacho,burrito,taco,service,fish"
150,u5U7iPk2D6SPprqlT7yTGQ,"atmosphere,burrito","taco,breakfast,fish"
151,BsC8_eQMJ16Hg_wlsFi8jA,,
152,lnv844c86Q-UMtBHxqDUEg,,"time,dinner,tortilla,staff,wait"
153,gOOfBSBZlffCkQ7dr7cpdw,,"time,dinner,staff"
154,SUd3IyEN7n5OYEGyt_U5lg,service,"taco,time"
155,9WtEKbNGOU-wo2Gic1hUpA,,"asada,tortilla"
156,HPngBhTmMOXbQI9Noppeaw,staff,"burrito,time,patio,steak,wait,line,chipotle"
157,hFK8uBuuwZgyCMYAis60MA,,"taco,time,service,breakfast"
158,k-drEjxKmfqllwfY90STfA,"lunch,time,guacamole,wait,minute","table,dinner,staff"
159,URGUzMJRhK5gLQKC4UztTQ,,"service,manager"
160,da_QOspls2XoU5AZ6QNcww,"lunch,staff,shrimp,chicken,fish",time
161,TectsyEvH5vmlgtYQ7Sjsw,,
162,eJPckkV1k7gn0V2awA1pzA,lunch,"burrito,time,rice,service,fish"
163,i3oRRwl3RWOxKfTtiJbliw,,"burrito,taco"
164,75i9St7QE12NX5JM-Zt90g,,staff
165,vUJhUVmRMn9T4gsmz-L_Yg,asada,"salsa,chicken"
166,AUl6myFhTAbEqt0GMdKHiw,,"chipotle,time"
167,TGlCiibIB2IxZwVzBjC2ng,,"taco,time,meat"
168,kOUnvmGamiw90BfmthoQGg,"lunch,chicken,dinner,staff","time,beef,wait,waiter,salsa,service"
169,MpAhuv_BBhYHDElgx1pD4g,,"quesadilla,line,burrito,chipotle"
170,ntkeyTQNc735Dr-yjGd_IQ,"time,service,shrimp","line,taco,staff"
171,bEmaq87n2n7_t2dZpUDziw,"chicken,breakfast","lunch,time,dinner,staff,atmosphere,service"
172,9Q1ZtzTPFWG4fJiFSko5Xg,"salsa,waiter,dinner,chips",time
173,OaDijC3QRwxw9uTadyWIsw,,dinner
174,ddplAthoA2pGLoSqhHpVkA,taco,"salsa,lunch,service,burrito"
175,_v7lMUtdd6WlgKUEBLA_VA,"chips,salsa,margarita","lunch,time,staff,waitress,service"
176,9q8phddM1YWNKZVepKi6iQ,,"drink,taco,time,staff,service"
177,rMVi-Vn_mN_X9J1ZSl1lWA,"burrito,enchilada,steak,taco,fish","lunch,time,guacamole,tortilla,service"
178,_HU30V8E6vuENIDsb0r82A,,
179,QaMb5uqUmC4Zm4aNVzM8kQ,"lunch,patio,dinner,guacamole,service",time
180,15LVDu1_v97JEx-g97wnfA,bacon,"service,salad"
181,lVfZ2AaYRYHCFenUMQna8g,"burrito,chile","lunch,steak,breakfast,taco,price,service"
182,AXQ6qAqYhB7sTrS0BY2ymg,,"taco,meat,service"
183,EagobNqcGL5Y5LoVcyoX9A,"lunch,rice,guacamole,staff,salsa,chicken,service,chips",time
184,hJda5g5v_2rT3D-3mSf7cQ,,lunch
185,2vr2yGIzSehe_ITFamNpyw,"chicken,time,chips","asada,taco,service"
186,426RL7G7oTyu-f8jFxVRJQ,"wait,taco,chicken","price,chipotle,service"
187,oVdcOfPFUHae6vRnAEzFFg,,"lunch,burrito,asada,breakfast,chips"
188,mswelTP1cQiuAps2fSGuBw,service,"manager,time,fries,bacon"
189,PQWE8a6Opjiuzt7DaX2R6Q,dinner,"time,service,patio"
190,juFdbC8ihaQUturmM9rryA,,lunch
191,dODimuyIJGIxER5uzX5WuQ,"time,taco,price,chicken,fish","lunch,meat,service"
192,8KEB1lcjKlIVSd6uA8JB9w,,"service,chicken,dinner"
193,YbsnQgu_3OmNYsCMXegeHw,atmosphere,"lunch,time,dinner,taco,service"
194,5lw5rrhFMz-liykUn8dGSw,taco,"pork,price,service,steak"
195,sygVFA8ZOprx18lS5d6keg,,
196,UU1Zfl25ChVRoGlY39y_eg,steak,"breakfast,service,staff"
197,4UmjnX46qbhV6-D5W89IOQ,lunch,"time,fries,meat,taco,line,service"
198,SDdB_gFAWW23cNmtwT-dAA,"lunch,staff","drink,salsa,service,taco"
199,YQHTkxWKgrrFLr8dPaXLVw,,"lunch,service,burrito,staff"
200,vLO7WdSy53qYHXl_PiRf1w,,"service,lunch,dinner"
201,I779CNMLWhZu6BxkGfLvwQ,,"dinner,staff"
202,IYedXxcwJJwxv-6DpMPvtA,lunch,"time,price,wait,service"
203,RgqetGtygIGTHYhysPLktw,staff,"lunch,service,chips,guacamole"
204,37n2MtSu1Xe8j1ci8jd-0g,,time
205,jqAdZf9PJo8lsRskc6T1Sw,lunch,"salsa,service,chips"
206,Sh_c-UZ8Tk_H1porVieNmA,"time,breakfast","table,lunch,dinner,service"
207,eNMNXsMjT_PJ5sslcmoYQQ,staff,"nacho,taco,service,fries"
208,seJ7Hlwr583gNGkT3amzIA,,
209,_6mvQX9x66oz046eS5ii8w,"beef,service","lunch,time,guacamole,salsa,chips"
210,v57Aq8TlBOrzo2j4SSpWCg,guacamole,"time,service"
211,hI-1qtiZmdyPHD-_i7LHFg,,"burrito,pork"
212,qdG4tYLHKJ33Rut7BQM-Zg,,"drink,service,fries,staff"
213,URwrgfuyfpVqgnKwkawlHw,"asada,time,service,fries","burrito,breakfast"
214,m2WXjeA959-YC1MzzA0APg,,"burrito,chipotle"
215,KUbCQ2ah__c5x0q_6b4oTA,chips,"time,chicken,service,shrimp"
216,fuQpzuHPLt8pnJ49j74qCQ,beef,"salsa,rice,shrimp"
217,78hGCrQ6wLA2yh8zMywnmw,"chicken,pork","beer,taco,time,service"
218,OFacUbdk0t-GJ83GQ83LOw,"lunch,dinner,steak,wait,salad,chicken","burrito,chipotle,service,taco"
219,mrjhrTycW0iLumjMZCfrzw,staff,"time,service"
220,jxFYZlq8r_iNv4FWp4_nhQ,,time
221,iXnHrmTw-r6LNzC2MjjrWQ,,"pork,taco,service"
222,U-gBybV1KIqfRIzkWXzK-w,"lunch,patio","taco,time,chips"
223,8EIZAb0knT2u_z2gIxllXw,"asada,breakfast,fries","burrito,steak,staff,wait,chile,tortilla,quesadilla,chicken,service"
224,r76Jr-MchYOobglY6TguzQ,"service,pork,steak","taco,time"
225,cbbidA4huw2XQQWlmbUQgw,"atmosphere,lunch","time,service,chips"
226,zWrwVNAvrtVAhcDRWJJMEw,,staff
227,ibOX3CypYVz0nJhCN5Wmcw,,"burrito,service,guacamole"
228,9cflYye_S2xNeb3C0mG3ng,,"table,rice,time,service,shrimp"
229,mES9E5K4HbYoPFXGv0pUuw,"chicken,chips,staff","lunch,time,dinner,burrito,taco,service,fish"
230,5WOE18ldtQ1U0MK5fN2HGQ,"lunch,staff,wait,taco,service,fish",chips
231,nEQFnHydeX2A3bRRDAKqQg,,"atmosphere,patio,service"
232,VH2BjFjc9usDquDgoHhptA,,"lunch,dinner,salsa,noisy,service,chips"
233,pJdPcHkqtaLF47pS0LxdYQ,"lunch,time,dinner","waitress,meat,salsa,service,manager"
234,jpKL9pSAXStao15pXvsxcA,"burrito,margarita","waiter,lunch,chicken,tortilla"
235,CLthP1yn32xlBswIbsLIjQ,"time,taco,asada,price,manager","lunch,chicken,meat"
236,GRs6OxKZREAwA_Nmp2GmVw,,"asada,burrito,price"
237,KGqvUQQA4c9GJpi5-znsew,,"burrito,time,taco,breakfast,service"
238,dT2zkQTpGJU1RP_eH4mKfA,,
239,nIskoP3-_MttghA3d-eYBA,"fish,taco,service,shrimp","lunch,meat,price"
240,V5K2K2U0JaBL5UPaZYJkSQ,,"lunch,time,burrito,taco,salsa,service"
241,xqpjZakCEWarm9jfzoYfWQ,,"taco,vegan"
242,orjSfu6Gcv2SQlXVsXdVBg,"chicken,beef,wait","lunch,time,steak,guacamole,meat,taco,salad"
243,XRtelzecxvhGtG4h7Xdxsw,,"asada,beef,meat"
244,7pkiQvVfcsa-wtBEeNHHUg,"chicken,atmosphere,chipotle,staff","time,burrito,meat,service"
245,Ls1NqcogI-szYoQ7tLh4Og,"price,service",
246,ujfIrNpNM9D020nPL4znRQ,"burrito,time,fries,asada,chicken","line,taco,wait,service"
247,ti1bb30WwnkDLuVvpTM6fQ,"fish,shrimp","time,dinner,noisy,price,service"
248,TOrphxql7UfJ77vXG4G4aQ,,service
249,pGwfOqNEL8FbMUFspJdAMA,,"burrito,service,taco,guacamole"
250,-Ut87cwGFsO3444Rd11p0Q,"asada,lunch,time,taco","breakfast,dinner,staff"
251,SVGApDPNdpFlEjwRQThCxA,"lunch,staff","waiter,time"
252,w34pLtetsY3TkkPJQdLOVg,"salsa,chips",
253,Kx0MUrNQ737s-VVElk6Vig,"lunch,time,staff,wait,breakfast",service
254,n-y6kw55Tn-5Get2TkWgeA,"taco,shrimp","beef,time,service"
255,r8Jr-7YfkhJL2nxk9lxUNg,"lunch,chicken,dinner","salsa,service,chips,margarita"
256,o7alpkgY_6m8WvJBdaJDfg,,"burrito,service,steak"
257,ibf4xvHWD4t1DOOZhidHBg,,"fish,service,margarita"
258,e01WELWR6ODCder7onrIlA,,"asada,burrito,service,taco"
