,business_id,positive words,negative words
80,WLblFINiPI18_o1OdDsnVg,lunch,"salad,chipotle,service"
81,mx6YUarYRhXxUqXiJ6mbIQ,,"service,lunch,staff,time"
82,7_YOEQXlrbGpF9t9TPG_nQ,"time,asada,burrito,chicken,taco","service,rice"
83,jxaF8MS1rrHEXfw-IyV5Fw,,"time,taco,service,manager"
84,VFv7NcPW9ajUTLleJ8wOQA,"line,burrito","chipotle,service,rice"
85,BsxefnHbrpDN7HB2hJrEiw,"taco,steak","time,price,burrito"
86,LdHtEVDZQhlz2N98IqcYUg,,"taco,service,wait"
87,rl137V_5Hx0cJAV4beVdhA,dinner,"tortilla,service,waiter"
88,E-_5sSD4Ofc8s7I8bMSidA,"time,staff,price,steak","chicken,meat,burrito,shrimp"
89,nekpzd-Nsg7ZsCAIHUkhmw,,staff
90,ZLRI8ZjrzEm5fRW-ahGz_g,"chicken,asada,burrito,fries","time,taco,service,shrimp"
91,eNeBda4br3HMg15-_jwokA,,"time,staff,price,service"
92,fYTfTGqseS7rJk9AMt2zvw,"staff,wait","lunch,service"
93,4DBboC1xv7Lr8KYVAw9LRA,,
94,dddUz7IweLuFYelc3ZIyNA,,"chicken,service,asada,rice,steak"
95,8wFiWvlfOVt1zvAvsoLw2g,,"service,asada,price,burrito"
96,02eESJZNF3qigrJ3GNRgIQ,,shrimp
97,-UxAJfViirpbkbth6_RKTw,,
98,d8lmIZIqmBC9oPM8y1dc7Q,chips,"service,waitress,lunch,table,patio,steak,salsa"
99,j3csEfGzkwnXATdRoZDT-A,"enchilada,burrito","lunch,time,service"
100,ViJGzET7fBMShhIgKew2Bg,,"chips,staff,service,time,atmosphere"
101,VONg0lyHm7fUdARWjkkjCQ,,service
102,xo1rcGb73pTSxzFB_9nEbA,,
103,5rZxENz57t-SDv1tIS8lOg,,"staff,salsa"
104,KbhrsTQEea2RF_94YWnBdQ,,"lunch,asada,price,fries"
105,erxmOSNUvDCmglakNyWfKw,,"lunch,chipotle"
106,c5TOGBUCCUUNBPM7h_KbmQ,"salad,taco,asada,breakfast","staff,service,lunch,time,rice,burrito"
107,JvqnkVL7dvpucjhKRsWjrw,"drink,service,atmosphere","lunch,time,salsa"
108,xDHuJaOQ5HqaLP0zgpJD9w,taco,"service,time,burrito,tortilla,manager"
109,a6RZ3ampzMPiu0drkw9WWw,"time,beer,price","lunch,margarita"
110,qgixm44W9chBRmjHif278g,dinner,"staff,fish,service,wait,time,breakfast"
111,TLEO3CpoJ0R7UKHvRb8fVg,,"breakfast,service"
112,WFB1fn8rWNukmmIfTg6AMw,,"chicken,staff,fish,service,taco"
113,46hnat0aLao-qYWZkN9aBg,pork,"service,time,chips,salsa,atmosphere"
114,NbkDsQhfK13ATV79TI4OQg,,"chipotle,service"
115,70w-yovIqsTQRe1azP7FiQ,,"lunch,taco"
116,vAFyzyLTxHhmS2NYvWXXSg,price,"taco,service,meat"
117,UqhVZYUeoBGroYpZB-9jlQ,"waitress,time","lunch,dinner,service,wait"
118,f5sSn5cO4t6mF_mdnzKkyA,"salad,time","service,guacamole,salsa"
119,FkdG2Qsh0V2UmrEOn_ImDA,guacamole,"time,asada"
120,vo8L42IzyEAIbEy51eiwQA,"enchilada,burrito","service,salsa,table,steak"
121,hifhQ-zx4g3JMoP8CxtDwg,lunch,"staff,meat,burrito,steak,chicken"
122,_cBlppMDZYXS-Bjj4l9qtw,,"breakfast,staff,drink,service"
123,L4H5cnC-AHlOlkIwIwnQnA,,"time,service"
124,VoTi4yVhTVyFdmxUpoyUsg,burrito,"asada,line"
125,CCNp1qS8n2gh51X7Wadabw,shrimp,service
126,qx2mnMgIb9PCx8crz17G9Q,,service
127,K4ibWLIMnbqwLzVkAlHFzA,,beer
128,l-D0uS-tgmhkFpHKBXvPQA,time,"chicken,staff,rice"
129,IZUDXIq5SULhQ5RGLCdB7g,"quesadilla,chicken,price,beef","staff,meat,time,rice,taco,salsa"
130,kkD5pal9rRzE4PjeYSL9mA,"chicken,service,meat,manager","fries,time,asada,burrito,taco"
131,82j2FxOIY7gud1IRglm1aw,"taco,service","time,staff,price"
132,Nb3hAuv8OkpFgSImYdt3Rg,,"chipotle,line,service,staff"
133,oGYXSVs0ympLy0ur8Qnp7g,time,"service,asada,burrito,dinner,taco,price"
134,gEnhbaSVAZgGPmRQEwgN2A,,"dinner,fish,taco,lunch,burrito"
135,GKyowVZZ7_E1KdxCZi8_OQ,,"fries,price,service,steak"
136,b65Ugu0VDKDNbLq7sW9RDQ,,"fish,service,wait,enchilada,burrito"
137,Ja4stXdNYr39u5CZHMNtjw,drink,"time,dinner,service"
138,_qh5RDI84nVGwZiYDvCoyw,"fish,service,lunch,time,taco","chips,chicken,guacamole,burrito"
139,o5Mofj5KJkYAMs_fhxftpg,"beef,taco,burrito,steak","chicken,service"
140,A8MmwHrMI0WnRTyQMdf8aQ,time,"chipotle,staff,service,burrito,atmosphere"
141,WgvJcTe_RdlIfnvxEzn2Mg,"breakfast,chicken,asada,fries","burrito,taco,beef"
142,AIEyiX9-yfXQgvLOtBgFgA,"lunch,dinner","service,time,steak,chicken,taco,salsa"
143,cf0LXwdYZ_9y0BVK-un9ow,"staff,fish,meat,fries,asada","service,lunch,time,chips,salsa"
144,vqEtZ7CtNB9G8WMzjwJA2g,"salsa,patio","service,lunch,steak,dinner,taco,price"
145,0G1y7uV7w1D2uziS4Lt_Dw,"drink,salsa,staff","service,lunch,time"
146,EozEGL29WftitEANtx3vaw,,"time,chipotle,dinner"
147,A4uc3-zbHowQeR_u-7VNOw,,time
